,Ngram,Sense[Phone],Sense[Product],yarowsky_score,abs_val_yar_score,sense_decision
3, ,9,7,0.25131442828090617,0.25131442828090617,phone
1,access,16,1,2.772588722239781,2.772588722239781,phone
183,acquir,1,2,-0.6931471805599453,0.6931471805599453,product
191,advert,1,2,-0.6931471805599453,0.6931471805599453,product
123,aerospac,1,2,-0.6931471805599453,0.6931471805599453,product
46,air,2,1,0.6931471805599453,0.6931471805599453,phone
146,already,1,2,-0.6931471805599453,0.6931471805599453,product
155,amig,1,2,-0.6931471805599453,0.6931471805599453,product
71,anoth,2,1,0.6931471805599453,0.6931471805599453,phone
125,apparel,1,2,-0.6931471805599453,0.6931471805599453,product
70,asynchron,2,1,0.6931471805599453,0.6931471805599453,phone
103,atla,1,2,-0.6931471805599453,0.6931471805599453,product
178,await,1,2,-0.6931471805599453,0.6931471805599453,product
20,back,3,1,1.0986122886681098,1.0986122886681098,phone
64,bal,2,1,0.6931471805599453,0.6931471805599453,phone
127,bil,1,2,-0.6931471805599453,0.6931471805599453,product
30,bisex,2,1,0.6931471805599453,0.6931471805599453,phone
189,bit,1,2,-0.6931471805599453,0.6931471805599453,product
119,brand,1,2,-0.6931471805599453,0.6931471805599453,product
133,brief,1,2,-0.6931471805599453,0.6931471805599453,product
122,bring,1,2,-0.6931471805599453,0.6931471805599453,product
89,broad,1,4,-1.3862943611198906,1.3862943611198906,product
117,build,1,2,-0.6931471805599453,0.6931471805599453,product
55,burst,2,1,0.6931471805599453,0.6931471805599453,phone
22,busy,3,12,-1.3862943611198906,1.3862943611198906,product
26,butl,2,1,0.6931471805599453,0.6931471805599453,phone
35,cal,2,1,0.6931471805599453,0.6931471805599453,phone
4,cam,7,1,1.9459101490553132,1.9459101490553132,phone
150,camer,1,2,-0.6931471805599453,0.6931471805599453,product
80,car,1,13,-2.5649493574615367,2.5649493574615367,product
173,card,1,2,-0.6931471805599453,0.6931471805599453,product
118,carleton,1,2,-0.6931471805599453,0.6931471805599453,product
128,cer,1,2,-0.6931471805599453,0.6931471805599453,product
76,chat,2,1,0.6931471805599453,0.6931471805599453,phone
179,chem,1,2,-0.6931471805599453,0.6931471805599453,product
169,clar,1,2,-0.6931471805599453,0.6931471805599453,product
19,clog,3,1,1.0986122886681098,1.0986122886681098,phone
187,club,1,2,-0.6931471805599453,0.6931471805599453,product
197,coff,1,2,-0.6931471805599453,0.6931471805599453,product
188,coleco,1,2,-0.6931471805599453,0.6931471805599453,product
42,com,2,1,0.6931471805599453,0.6931471805599453,phone
78,commun,2,1,0.6931471805599453,0.6931471805599453,phone
93,company,1,3,-1.0986122886681098,1.0986122886681098,product
31,complaint,2,1,0.6931471805599453,0.6931471805599453,phone
106,complet,1,2,-0.6931471805599453,0.6931471805599453,product
82,comput,1,7,-1.9459101490553135,1.9459101490553135,product
175,concern,1,2,-0.6931471805599453,0.6931471805599453,product
109,corp,1,2,-0.6931471805599453,0.6931471805599453,product
164,corsic,1,2,-0.6931471805599453,0.6931471805599453,product
